nombre-pelicula;año;tipo-largometraje;duracion-min;tipo-filme;color;director-01;idioma;consol-idioma;lugar-prod;consol-lugar-prod;pais-rodaje;consol-pais-rodaje;lugar-estreno;pais-estreno;sinopsis;Columna1;Columna2;Columna3;Columna4;Columna5;Columna6;Columna7;Columna8;Columna9;Columna10;Columna11;Columna12;Columna13;Columna14;Columna15;Columna16;Columna17;Columna18;Columna19;Columna20;Columna21;Columna22;Columna23;Columna24;Columna25;Columna26;Columna27;Columna28;Columna29;Columna30;Columna31;Columna32;Columna33;Columna34;Columna35;Columna36;Columna37;Columna38;Columna39;Columna40;Columna41;Columna42;Columna43;Columna44;Columna45;Columna46;Columna47;Columna48;Columna49;Columna50;Columna51;Columna52;Columna53;Columna54;Columna55;Columna56;Columna57;Columna58;Columna59;Columna60;Columna61;Columna62;Columna63;Columna64;Columna65;Columna66;Columna67;Columna68;Columna69;Columna70;Columna71;Columna72;Columna73;Columna74;Columna75;Columna76;Columna77;Columna78;Columna79;Columna80;Columna81;Columna82;Columna83;Columna84;Columna85;Columna86;Columna87;Columna88;Columna89;Columna90;Columna91;Columna92;Columna93;Columna94;Columna95;Columna96;Columna97;Columna98;Columna99;Columna100;Columna101;Columna102;Columna103;Columna104;Columna105;Columna106;Columna107;Columna108;Columna109;Columna110;Columna111;Columna112;Columna113;Columna114;Columna115;Columna116;Columna117;Columna118;Columna119;Columna120;Columna121;Columna122;Columna123;Columna124;Columna125;Columna126;Columna127;Columna128;Columna129;Columna130;Columna131;Columna132;Columna133;Columna134;Columna135;Columna136;Columna137;Columna138;Columna139;Columna140;Columna141;Columna142;Columna143;Columna144;Columna145;Columna146;Columna147;Columna148;Columna149;Columna150;Columna151;Columna152;Columna153;Columna154;Columna155;Columna156;Columna157;Columna158;Columna159;Columna160;Columna161;Columna162;Columna163;Columna164;Columna165;Columna166;Columna167;Columna168;Columna169;Columna170;Columna171;Columna172;Columna173;Columna174;Columna175;Columna176;Columna177;Columna178;Columna179;Columna180;Columna181;Columna182;Columna183;Columna184;Columna185;Columna186;Columna187;Columna188;Columna189;Columna190;Columna191;Columna192;Columna193;Columna194;Columna195;Columna196;Columna197;Columna198;Columna199;Columna200;Columna201;Columna202;Columna203;Columna204;Columna205;Columna206;Columna207;Columna208;Columna209;Columna210;Columna211;Columna212;Columna213;Columna214;Columna215;Columna216;Columna217;Columna218;Columna219;Columna220;Columna221;Columna222;Columna223;Columna224;Columna225;Columna226;Columna227;Columna228;Columna229;Columna230;Columna231;Columna232;Columna233;Columna234;Columna235;Columna236;Columna237;Columna238;Columna239;Columna240
Riquelme ;2009;Largometraje documental ;85; DVCam ; Color;Samuel León;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Durante el verano de 1956, el ciudadano Julio Riquelme Ramírez desapareció misteriosamente durante un viaje en el mítico y desaparecido tren longitudinal norte en momentos en que cruzaba el desierto de Atacama. Desde entonces nada se supo de él hasta que, exactos 43 años después, se produjo el hallazgo de su esqueleto en la parte más gruesa del desierto, a 120 km al sur deChile. Ernesto Riquelme, hijo del desaparecido, es quién asume el hallazgo y el posterior proceso, confrontando los antiguos mitos que explicaban la desaparición de su padre con la seca realidad, en una historia con grandes interrogantes y profundos desencuentros familiares.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riquelme ;2009;Largometraje documental ;85; DVCam ; Color;Samuel León;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Durante el verano de 1956, el ciudadano Julio Riquelme Ramírez desapareció misteriosamente durante un viaje en el mítico y desaparecido tren longitudinal norte en momentos en que cruzaba el desierto de Atacama. Desde entonces nada se supo de él hasta que, exactos 43 años después, se produjo el hallazgo de su esqueleto en la parte más gruesa del desierto, a 120 km al sur deChile. Ernesto Riquelme, hijo del desaparecido, es quién asume el hallazgo y el posterior proceso, confrontando los antiguos mitos que explicaban la desaparición de su padre con la seca realidad, en una historia con grandes interrogantes y profundos desencuentros familiares.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escape al silencio. Notas de vida de Alfredo Espinoza ;2009;Largometraje documental ;90; Digital ; Color;Diego Pequeño;Español;Español;Chile;Chile;NI;NI;NI;NI;Durante los años 70, llega a París un extravagante saxofonista de jazz proveniente deChile Alfredo Espinoza destaca de inmediato por su técnica, swing y espectaculares solos. Su talento lo lleva a tocar en importantes circuitos del jazz tradicional europeo e, incluso, a visitar África. Hace amigos, admiradores y vive una época feliz de música y bohemia. Sin un motivo claro, Alfredo vuelve a su país para vivir con su madre. Prontamente se integra a la escena jazzística chilena, pero una larga enfermedad mental lo deja perdido en un cerro deChile por más de diez años, lejos de su música y las bellas melodías que tanto encantaron a personas de muchos países.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Supersordo. Historia y geografía de un ruido ;2009;Largometraje documental ;65; HD ; Blanco & negro;Susana Díaz Berrios;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Durante los años 90, el grupo santiaguino Supersordo sintetizó de manera inédita un sonido experimental intenso, denso y demoledor. Este documental reconstruye la emergencia y el desarrollo de la banda por medio de su propio producto: el ruido. Es una reconstrucción que se piensa e interpreta desde sus experiencias musicales actuales, con la mirada crítica que permite ver las limitaciones, osadías y legados de su producción.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bernie… tan lejos de casa ;2009;Largometraje documental ;63; Digital ; Color;Pepe Bustamante;Español,  Inglés;Español y otro;Chile;Chile;Chile;Chile;NI;NI;El blues de Bernie Weis –criado en Louisiana, ex miembro de la marina estadounidense, y afincado en Chile desde hace veinte años– es un viaje musical a través de su maravillosa colección de guitarras.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
¡Hay Mana! ;2009;Largometraje documental ;57; Digital ; Color;Wladimir Rupcich;Español,  Rapanui;Español y otro;Chile;Chile;Chile;Chile;NI;NI;El Documental “Hay Mana” revive la importancia de la transmisión oral entre un abuelo y su nieto. Ambos protagonistas, muestran los efectos de la modernidad sobre la fragilidad del patrimonio arqueológico de la cultura Rapanui.  Los relatos del abuelo Lázaro Hotus a su nieto, Juan Haoa, cuentan de una expedición científica Noruega dirigida por Thor Hayerdhal, (el Kontiki como lo llamaban los isleños), durante los años 1955 - 56. Lázaro Hotus recuerda esa aventura con su nieto Juan después de 54 años y juntos dan cuenta de la importancia y los efectos de esta expedición Noruega en la vida social y cultural de la población Rapanui y también de la llegada del turismo y sus implicancias en las transformaciones económicas y políticas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La isla de los hombres solos ;2009;Largometraje documental ;55; Digital ; Color;Luciano Cruz-Coke;Español;Español;Chile;Chile;Chile;Chile;NI;NI;El documental nos descubre la hazaña de un grupo de hombres que instalan en la isla Guarello, al sur de Chile, una faena de extracción mineral fundamental en la industria del acero.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La conspiración de Chicago ;2009;Largometraje documental ;90; Digital ; Color;Subversive Actions Films;Español;Español;Chile;Chile;Chile;Chile;NI;NI;El documental toma su nombre de aproximadamente 25 economistas chilenos que asistieron a la Universidad de Chicago y otras universidades prestigiosas a principios de los 60 para estudiar bajo la influencia de los economistas neoliberales Milton Friedman y Arnold Harberger. Después de abrazar las ideas neoliberales de Friedman, estos economistas regresaron para asistir a Pinochet en la imposición de estas nuevas políticas de libre mercado. Se privatizaron casi todos los aspectos de la sociedad, y Chile pronto se convirtió en un ejemplo típico del capitalismo de libre mercado bajo el cañón de un arma de fuego. El documental toma como inicio la muerte de Pinochet y luego un legado que ha provocado luchas sociales expresadas en el Día del Joven Combatiente, movimientos estudiantiles y el llamado conflicto mapuche. La Conspiración de Chicago es una respuesta a una conspiración global del neoliberalismo, el militarismo y el autoritarismo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monvoisin ;2009;Largometraje de ficción ;90; HD ; Color;Mario Velasco C.;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"El pintor francés Monvoisin llega a Chile en 1840 para reinventarse.
Exhibida sólo por TV.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hotel Marconi ;2009;Largometraje de ficción ;70; Digital ; Color;Camilo Echegoyen;Español;Español;Chile;Chile;NI;NI;Festival Cine B,Chile; Chile;El poeta regresa a la ciudad de su poesía. Regresa en busca de sus personajes. El poeta no los reconoce, los personajes lo van liberando de un tormentoso pasado con ritos mágicos. Los personajes han sobrevivido a su marginalidad, vivencial y poética. La libertad de los personajes esta en la libertad del poeta.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El visitante nocturno ;2009;Largometraje de ficción ;74; 35 mm ; Color;Pepe Maldonado;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Elisa, una solitaria y tímida bibliotecaria, se muda a vivir a un céntrico edificio, sin saber que allí se cometió recientemente el crimen de una joven universitaria. Sin entender porqué, Elisa comienza a sufrir una serie de sensaciones que poco a poco irán develando una personalidad hasta entonces desconocida, llevándola a vivir situaciones extremas que a su vez irán dando pistas sobre el asesino de la antigua inquilina, El visitante Nocturno. Dejar la casa de los padres, puede no haber sido una buena decisión. Película que se comenzó a producir el año 2004.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mi vida con Carlos ;2009;Largometraje documental ;83; 35 mm ; Color;Germán Berger-Hertz;Español;Español;Chile,  España;Chile y otro;Chile;Chile;Festival Internacional de Documentales deChile; Chile;"En 1973, el abogado y periodista Carlos Berger fue asesinado por el régimen de Pinochet. En tres días, 75 presos políticos fueron «secuestrados, torturados y ejecutados y, en muchos casos, sus cuerpos desaparecieron; como en el caso de mi padre». Germán Berger, el hijo, no ha sabido mucho de su padre, el cual murió antes de que él cumpliera un año de edad. La familia sólo hablaba de Carlos como un icono político, nunca como persona, como un hermano, un esposo o un humanista. “Mi vida con Carlos” es la búsqueda personal, por parte del hijo, de la memoria de su padre asesinado, revisando y revalorando la reciente historia y el presente de Chile a través de las vidas de una familia concreta. Es la historia de un drama familiar que refleja el drama de todo un país.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mi vida con Carlos ;2009;Largometraje documental ;83; 35 mm ; Color;Germán Berger-Hertz;Español;Español;Chile,  España;Chile y otro;Chile;Chile;Festival Internacional de Documentales deChile; Chile;"En 1973, el abogado y periodista Carlos Berger fue asesinado por el régimen de Pinochet. En tres días, 75 presos políticos fueron «secuestrados, torturados y ejecutados y, en muchos casos, sus cuerpos desaparecieron; como en el caso de mi padre». Germán Berger, el hijo, no ha sabido mucho de su padre, el cual murió antes de que él cumpliera un año de edad. La familia sólo hablaba de Carlos como un icono político, nunca como persona, como un hermano, un esposo o un humanista. “Mi vida con Carlos” es la búsqueda personal, por parte del hijo, de la memoria de su padre asesinado, revisando y revalorando la reciente historia y el presente de Chile a través de las vidas de una familia concreta. Es la historia de un drama familiar que refleja el drama de todo un país.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Payo en serio ;2009;Largometraje documental ;58; Digital ; Color;Alejandra Fritis;Español;Español;Chile;Chile;Chile;Chile;NI;NI;En este documental, “Payo en serio”, Payo Grondona narra en primera persona su trayectoria personal y musical. Exhibe registros de conciertos de Payo en el Centro Cultural de España (Santiago), Teatro Municipal deChile y Teatro Mauri (Valparaíso) compartiendo escenario con los músicos del Canto Nuevo Eduardo Peralta y dúo Schwenke&Nilo. Además, participan de este documental David Mac-Iver, Sergio “Pirincho” Cárcamo, Thelmo Aguilar y Fernando “Flopy” López.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nosotros ;2009;Largometraje documental ;62; DV Cam ; Color;Cristóbal Cohen;Español;Español;Chile;Chile;Chile;Chile;NI;NI;En este nuevo film, Hermosilla y Cohen abordan una realidad que puede ser dolorosa, pero ineludible y cotidiana: la de los ancianos que pasan sus últimos años en hogares y casas de reposo. “Cuando hablamos de los adultos mayores”, comentan los realizadores, “la mayoría del tiempo lo hacemos desde la distancia, olvidando que nosotros somos y seremos ellos mismos”. Además de los testimonios y recuerdos de vida de estos hombres y mujeres, este documental aprovecha de reflejar la irreversible destrucción de los antiguos barrios tradicionales deChile deChile Según Cohen y Hermosilla, “este documental es sobre la pérdida de nuestra identidad como individuos y ciudadanos. Este documental es sobre nosotros”.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aniceto, razón de Estado ;2009;Largometraje documental ;55; MiniDV ; Color;Guido Brevis;Español,  Mapudungún;Español y otro;Chile;Chile;Chile;Chile;NI;NI;En la Región de la Araucanía, territorio marcado por históricas relaciones entre mapuche y no mapuche, el disparo de un carabinero provoca la muerte de un joven mapuche. Por otra parte, más de cien días en huelga de hambre cumple una comunera condenada a 10 años de prisión. De fondo, la experiencia de Aniceto Norin, un Longko que ha cumplido 5 años en prisión por el delito de “Amenaza Terrorista”, el cual con su relato nos lleva a conocer su pensamiento e impactos al asumir su rol y su ser mapuche.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aniceto, razón de Estado ;2009;Largometraje documental ;55; MiniDV ; Color;Guido Brevis;Español,  Mapudungún;Español y otro;Chile;Chile;Chile;Chile;NI;NI;En la Región de la Araucanía, territorio marcado por históricas relaciones entre mapuche y no mapuche, el disparo de un carabinero provoca la muerte de un joven mapuche. Por otra parte, más de cien días en huelga de hambre cumple una comunera condenada a 10 años de prisión. De fondo, la experiencia de Aniceto Norin, un Longko que ha cumplido 5 años en prisión por el delito de “Amenaza Terrorista”, el cual con su relato nos lleva a conocer su pensamiento e impactos al asumir su rol y su ser mapuche.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En defensa propia ;2009;Largometraje documental ;60; DVCam ; Color;Claudia Barril;Español;Español;Chile;Chile;Chile;Chile;Festival Internacional de Documentales deChile; Chile;En un barrio delChile antiguo, un grupo de mujeres motivadas por el temor a ser víctimas de la delincuencia, se organizan en un Comité de Seguridad y Prevención Ciudadana. De pronto, la instalación de una nueva cárcel y el rumor de un suceso delictivo ocurrido en las cercanías del barrio, estremece la tranquilidad cotidiana. A partir de este hecho, estas mujeres develan sus reales temores y la experiencia de vivir en función de la seguridad.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La creación ;2009;Largometraje de ficción ;70; Digital ; Color;Patricio Valladares;Español;Español;Chile;Chile;Chile;Chile;NI;NI;En un futuro post-nuclear. Un mago de circo ambulante escapa de la ciudad hacia un bosque místico para realizar junto con su joven asistente, su mayor acto de magia llamado La creación. Para esto deberá pasar por etapas de tendencias homicidas y de la manipulación de la realidad. Tendrá que llegar a los rincones mas extremos del ser humano.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Historias de aldea ;2009;Largometraje documental ;120; 8 mm|16 mm ; Color;Patricio González Colville;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"En un mundo globalizado, las culturas locales son avasalladas por modas y estilos foráneos. Las ancestrales tradiciones están sufriendo lenta extinción y destrucción. En esta coyuntura actúa Patricio Gonzalez Colville, quien va en búsqueda de las imagenes que permitan rescatar y entender nuestro ser local.
 Luego de cuatro años de investigación, el cineasta logra adentrarse en la memoria histórica del pueblo de Villa Alegre, pueblo de la región del Maule. Valiendose de documentos, fotografías y mapas, se reconstruye la historia de un pueblo. ""Historias de Aldea"" también descubre y recopila viejas filmaciones en 8mm que logran constituir la memoria visual de nuestro país, preservando lo único que se ha podido recuperar de la memoria y el olvido.
 La lucha diaria del campesinado frente a la naturaleza hostil, sacrificio, fe religiosa, mitos, leyendas, bandidaje, fiesta del vino y esperanzas frustradas constituyen un documental que da cuenta de un país que ha permanecido oculto y que sale a la luz en este documental de largometraje.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La voz mapuche ;2009;Largometraje documental ;113; DVCam ; Color;Andrea Henríquez;Español,  Mapudungún;Español y otro;Argentina,  Chile;Chile y otro;Chile;Chile;Festival de Cine Social y de Derechos Humanos;Chile;"En un recorrido por diferentes comunidades de la Puelmapu (tierra donde sale el sol) y la Gulumapu (tierra donde se pone el sol), el documental “La Voz Mapuche” atraviesa ríos, lagos, bosques y montañas para recoger los testimonios y la sabiduría de autoridades ancestrales, y la visión de hombres, mujeres, niños, jóvenes y ancianos mapuches. Se rompe el cerco informativo al penetrar en las cárceles donde cumplen condenas quienes defienden los derechos de todo un pueblo, y se registra una huelga de hambre de más de 100 días que desata una ola de movilizaciones.
 La música, la pintura, la poesía, el idioma, los rituales, las tradiciones y la fuerza de la Naturaleza y de los antepasados están presentes en “La Voz Mapuche”, un documental que refleja la lucha de este pueblo originario a través de su forma de concebir el mundo.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La casa por la ventana ;2009;Largometraje de ficción ;72; Digital ; Color;Esteban Rojas;Español;Español;Argentina,  Chile;Chile y otro;Chile;Chile;NI;NI;En vísperas de año nuevo, Julio Saéz Jr. (Walter Cornás), un flamante arquitecto que, por presión de su padre, organiza una fiesta en plan de codearse con la alta sociedad, se verá entrometido en un problema que supera sus condiciones de anfitrión: su casa se llenará de jóvenes con la idea de rockearla. Sus mejores amigos le ayudarán a vivir una noche atípica, en lo que será -finalmente- la noche de sus vidas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Mujer Metralleta ;2009;Largometraje documental ;76; DVCam ; Color;Francisco López Ballo;Español;Español;Chile;Chile;Chile;Chile;Festival Internacional de Documentales deChile; Chile;"Es el retrato de Marcela Rodríguez Valdivieso, sindicada por los medios de prensa chilenos como el rostro de la misteriosa mujer que comandaba un grupo de extrema izquierda ; MAPU LAUTARO, contra la dictadura a principios de los años 80. Afines de dicho período, el país recupera su democracia, sin embargo la situación política no cambia sustancialmente para los más pobres. Esto llevará a Marcela a tomar la decisión de continuar la lucha armada, de la mano de su compañeros de grupo, en contra de las injusticias del sistema neo- liberal, considerado como herencia de la dictadura en democracia. La película se construye en torno a una voz narrativa, que parte buscando por las calles deChile este fantasma del pasado y se encuentra con el rostro del Chile actual, en plenos cambios sociales ; como la elección de Michelle Bachelet y la muerte del dictador Augusto Pinochet.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
