PELÍCULA;Nombre Actor Protagonista;Género actor protagonista;Nombre Actor Secundario;Género actor secundario
Stefan v/s Kramer;Stefan Krammer;M;Paloma Soto;F

Otra película de amor;Aquiles Poblete;M;Benjamin Patri;M

Miguel San Miguel;Eduardo Fernandez;M;Diego Boggioni;M

La noche de enfrente;Cristian Vadim;M;Sergio Hernández;M

Joven y alocada;Camila Gutierrez;F;Maria Jose Viera-Gallo;F

Hijo de Trauco;Xavier Usabiaga;M;Ignacia Tellez;F

De jueves a domingo;Santi Ahumanada;M;Emiliano Freifield;M

Caleuche: el llamado del mar;Giselle Itié;F;Eduardo Paxeco;M
