Película ;Año;Duración ;Dirección;Guion;Casa productora;País coproducción;Lugar de estreno;País de estreno
La mentirita blanca;2017;80;Tomás Alzamora ;Tomás Alzamora;Equeco;Chile;Festival de Cine de Miami;Estados Unidos
Niñas araña;2017;93;Guillermo Helo;"
Daniela Aguayo
Guillermo Helo
Ticoy Rodríguez";"
Altirosapiens
Demente
Usual Producciones";Chile;Estreno en salas;Chile
Se busca novio…para mi mujer;2017;100;Diego Rougier;"
Diego Rougier
Rodrigo Vergara Tampe";"
Patagonik 
Picardía Films";Chile y Argentina;Estreno en salas;Chile
#SOLO;2017;63;Andrés Valenzuela Arellano;Pedro Álvarez;"
El Hangar";Chile;Estreno en salas;Chile
Aquí no ha pasado nada;2016;94;Alejandro Fernández Almendras;"
Alejandro Fernández Almendras
Jerónimo Rodríguez";"
Brisa
Jirafa films";Chile;Festival de Sundances;Estados Unidos
;;;;;;;;
Mala junta;2016;89;Claudia Huaiquimilla;"Claudia Huaiquimilla
Pablo Greene";"Lanza Verde
Molotov Cine
Pinda Producciones";Chile;FICValdivia;Chile
El Cristo ciego;2016;85;Christopher Murray;Christopher Murray;"Jirafa Films
Ciné-Sud Promotion";Chile y Francia;Festival de Cine de Venecia;Italia
Rara;2016;94;María José San Martin;"
Alicia Scherson
María José San Martín";"
Le Tiro Cine
Manufactura de películas";Argentina y Chile;Festival de Cine de Berlín;Alemania
Poesía sin fin;2016;130;Alejandro Jodorowsky;Alejandro Jodorowsky;"Le Pacte
Le Soleil Films
OpenVizor
Satori Films";Chile-Francia-Reino Unido;Festival de Cine de Cannes;Francia
Argentino QL;2016;91;Pato Pimienta;"
Iván Oyarzún
Jorge Alis
Mariano Ramos
Pato Pimienta";Mauricio Dupuis;Chile;Estreno en salas;Chile
Neruda;2016;107;Pablo Larraín;"
Guillermo Calderón";"
Az Films 
Fábula
Funny Ballloons
Participant Media
Setembro Cine";Argentina, Chile, España, Francia;Festival de Cine de Cannes;Francia
Un caballón llamado elefante;2016;80;Andrés Waissbluth;"Andrés Waissbluth
Daniel Laguna
Miguel Ángel Labarca";"
Invercine Producciones
Retaguardia Films
Traziende Films
Rhayuela Cine";Chile, Colombia, México;Festival de Cine de Cartagena de Indias;Colombia
Fragmentos de Lucía;2016;89;Jorge Yacoman;Jorge Yacoman;"
Words & Facts Films";Chile;Estreno en salas;Chile
Fuego, en la Federación Obrera de Magallanes;2016;65;Jorge Grez;Maritza Romero;"
Tribunal de Juicio Oral en lo Penal de Punta Arenas
UMAGTV
Universidad de Magallanes";Chile;Estreno en salas;Chile
Nunca vas a estar solo;2016;81;Alex Anwandter;"
Alex Anwandter";"
Araucaria Cine
SAM producciones";Chile;Festival de Cine de Berlín;Alemania
Los soles vagabundos;2016;88;Tito González García ;"
Emilie Lacape
Jean-Claude Dumoulin
Tito Gonzalez Garcia";"David Kammenos
Tito Gonzalez Garcia";Chile;Estreno en salas;Chile
Sin filtro;2016;90;Nicolás  López ;"Diego Ayala
Nicolás López";"
Sobras Producciones";Chile;Estreno en salas;Chile
Pinochet boys;2016;90;Claudio del Valle;"
Ignacio Iriarte";Pinochet Boys S.A.;Chile;Estreno en salas;Chile
Talión;2015;85;Martín Tuta;Martin Tuta;Mauricio Pinto;Chile;Festival de Cine de Santiago;Chile
Sendero;2015;90;Lucio Rojas;Lucio Rojas;"
Border Motion Cinema";Chile;Festival de Cine de Santiago;Chile
